연번,시설명,위치,규모,홀수,운영기관,연락처,latitude,longitude
20,선산파크골프장,경상북도 구미시 선산읍 원리 1057-26번지 일원,,36홀,구미시,,36.1345,128.3123
21,장애인파크골프장,경상북도 구미시 원평동 964-1,,18홀,구미시,,36.1078,128.3234
22,옥성파크골프장,경상북도 구미시 옥성면 농소리 1034-1번지 일원,,18홀,구미시,,36.0789,128.2945
23,조교파크골프장,경상북도 영천시 조교동 52-2,,36홀,영천시,,35.9733,128.9386
24,장애인파크골프장,경상북도 영천시 조교동 883-1,,18홀,영천시,,35.9756,128.9423
25,오수파크골프장,경상북도 영천시 오수동 434-26,,36홀,영천시,,35.9689,128.9345
26,상주 병성천 파크골프장,경상북도 상주시 외답동 882-1번지 일원,,54홀,상주시,,36.4108,128.1591
27,상주 함창 파크골프장,경상북도 상주시 함창읍 태봉리 614-8번지 일원,,9홀,상주시,,36.3845,128.1234
28,영강천변파크골프장,경상북도 문경시 우지동 535-1,,45홀,문경시,,36.7867,128.1869
29,농암 대정 파크골프장,경상북도 문경시 농암면 종곡리 536-5,,9홀,문경시,,36.8123,128.2345
30,동로면 황장산 파크골프장,경상북도 문경시 동로면 적성리 525-11,,9홀,문경시,,36.8234,128.2567
31,가은 청솔공원 파크골프장,경상북도 문경시 가은읍 성저리,,9홀,문경시,,36.7945,128.1678
32,경산파크골프장,경상북도 경산시 대평동 75-2번지 일원,,18홀,경산시,,35.8253,128.7417
33,하양파크골프장,경상북도 경산시 하양읍 동서리 173-5번지 일원,,18홀,경산시,,35.9123,128.8234
34,하양물빛파크골프장,경상북도 경산시 하양읍 대조리 921-51번지 일원,,27홀,경산시,,35.9234,128.8345
35,비안파크골프장,경상북도 의성군 비안면 동부리 162-1,,36홀,의성군,,36.2567,128.6789
36,청송파크골프장,경상북도 청송군 청송읍 송생리 784-1,,18홀,청송군체육회,,36.4345,129.0567
37,삼지연파크골프장,경상북도 영양군 영양읍 삼지리 270번지 일원,,18홀,영양군,,36.6678,129.1123
38,영해생활체육공원파크골프장,경상북도 영덕군 영해면 성내리 129-1,,9홀,영덕군,,36.4156,129.4023
39,장애인파크골프장,경상북도 영덕군 영덕읍 우곡리 산 31-8,,18홀,영덕군,,36.4234,129.3756
40,송천파크골프장,경상북도 영덕군 병곡면 송천리 434-1,,36홀,영덕군,,36.3845,129.3234
41,오십천파크골프장,경상북도 영덕군 영덕읍 천전리 364-1번지,,18홀,영덕군,,36.4123,129.3567
42,청도군 파크골프장,경상북도 청도군 청도읍 원리192 일원,,27홀,청도군,,35.6478,128.7345
43,각북파크골프장,경상북도 청도군 각북면 남산리 1460-3 일원,,18홀,청도군,,35.6234,128.7123
44,대가야파크골프장,경상북도 고령군 대가야읍 장기리 320-1,,36홀,고령군,,35.7289,128.2634
45,다산파크골프장,경상북도 고령군 다산면 호촌리 592-1,,27홀,고령군,,35.7456,128.2456
46,성주파크골프장,경상북도 성주군 성주읍 대황리 52-3번지,,9홀,성주군체육회,,35.9192,128.2835
47,선남파크골프장,경상북도 성주군 선남면 관화리 1091-16번지,,36홀,성주군,,35.8945,128.2567
48,벽진파크골프장,경상북도 성주군 벽진면 봉계리 1442-78번지,,9홀,성주군,,35.8756,128.2345
49,용암파크골프장,경상북도 성주군 용암면 상언리 576-1번지,,9홀,성주군,,35.8834,128.2678
50,수륜파크골프장,경상북도 성주군 수륜면 신정리 657-1번지,,9홀,성주군,,35.8923,128.2789
51,초전파크골프장,경상북도 성주군 초전면 문덕리 775-9번지,,9홀,성주군,,35.8678,128.2234
52,별고을파크골프장,경상북도 성주군 대가면 옥성리 1번지,,9홀,성주군,,35.8567,128.2456
53,가천파크골프장,경상북도 성주군 가천면 금봉리 812-11번지,,9홀,성주군,,35.8456,128.2123
54,성주호파크골프장,경상북도 성주군 금수면 후평리 4-1번지 일원,,18홀,성주군,,35.8345,128.2567
55,왜관파크골프장,경상북도 칠곡군 왜관읍 왜관리 1292-3,,18홀,칠곡군,,35.9935,128.3984
56,석적파크골프장,경상북도 칠곡군 석적읍 남율리 408,,9홀,칠곡군,,35.9845,128.3756
57,덕산파크골프장,경상북도 칠곡군 약목면 덕산리 348-1,,18홀,칠곡군,,36.0123,128.4234
58,북삼파크골프장,경상북도 칠곡군 북삼읍 어로리 743-1,,18홀,칠곡군,,35.9756,128.3567
59,예천한천파크골프장(1구장),경상북도 예천군 예천읍 서본리 124,,18홀,예천군파크골프협회,,36.6556,128.4517
60,예천한천파크골프장(2구장),경상북도 예천군 예천읍 대심리 295-5,,18홀,예천군파크골프협회,,36.6578,128.4534
61,내성천파크골프장,경상북도 봉화군 봉화읍 내성리 506,,18홀,봉화군,,36.8934,128.7323
62,남울진파크골프장,경상북도 울진군 평해읍 평해리 538-4,,9홀,울진군,,36.9823,129.3456
63,울진파크골프장,경상북도 울진군 근남면 수산리 369-1,,36홀,울진군,,36.9934,129.4123
