연번,시설명,위치,규모,홀수,운영기관,연락처,latitude,longitude,지역
77,"구미파크골프장","경상북도 구미시 낙동제방길 200 낙동강체육공원 내","","54","구미시","",36.0923,128.2834,"경북"
78,"구지1호근린공원 파크골프장","대구광역시 달성군 구지면 내리 840 산업단지1호근린공원","","18","","",35.6416248571619,128.418824448963,"대구"
79,"구지평촌파크골프장","대구광역시 달성군 구지면 평촌리 1-10","","18","","",35.6451449372217,128.457282116039,"대구"
80,"군북파크골프장","경상남도 함안군 군북면 함안산단7길70","","36","","",35.2962199136445,128.319761173877,"경남"
81,"군산파크골프장","전북특별자치도 군산시 수송동로 58","10,800㎡","18","군산시","",35.9676,126.737
82,"군위파크골프장","대구광역시 군위군 군위읍 내량길 28-60","","36","","",36.2498915943205,128.557626678077,"대구"
83,"군포시파크골프장","경기도 군포시 수변공원내","","9","","",37.4462988436044,127.56120380713502,"경기"
84,"금강파크골프장","세종특별자치시 세종동 747-321","43000㎡","36","세종특별자치시","044-301-3334",36.4816,127.289,"세종"
85,"금산군파크골프장","충청남도 금산군 제원면 수당리 986-1","","36","","",36.10332352831,127.532028145215,"충남"
86,"금서파크골프장","경상남도 산청군 금서면 동의보감로 645","","9","","",35.41997308561902,127.87806337687367,"경남"
87,"금성파크골프장","경상북도 의성군 금성면 탑운길 99","","9","","",36.2613253567142,128.686445377887,"경북"
88,"금소파크골프장","경상북도 안동시 임하면 금소리 생태공원","","18","","",36.493568403673386,128.8934227501519,"경북"
89,"금천파크골프장","경상북도 청도군 금천면 동곡리 새들보옆","14,000㎡","18","금천구","",37.4567,126.9012
90,"기장파크골프장","부산광역시 기장군 정관읍 모전리677 물빛공원 내","5118㎡","6","","033-460-4357",38.0723,128.1756,"부산"
91,"김천파크골프장","경상북도 김천시 지좌동157-1","","27","김천시","",36.1394,128.1137,"경북"
92,"나리공원파크골프장","경기도 양주시 광사동 나리공원 내","","18","","",37.38762773170696,127.47967319562098,"경기"
93,"난지천공원 파크골프장연습장","서울특별시 마포구 상암동 1538","","6","","",37.5711561301509,126.887391519322,"서울"
94,"남구 대공원 파크골프장","울산광역시 남구 대공원로 94","","18","","",35.5310582725536,129.293845763498,"울산"
95,"남구 태화강 파크골프장","울산광역시 남구 신정동 391","","36","","",35.5501055866551,129.308723002997,"울산"
96,"남구파크골프장","대구광역시 남구 봉덕동 산128-1","","9","","",35.8311258899048,128.596827313399,"대구"
97,"남대천파크골프장","경상북도 울진군 평해읍 평해리 538-4","74063㎡","9","","033-670-2606",38.075,128.619,"경북"
98,"남양주장애인파크골프장","경기도 남양주시 별내동910","","9","구미시","",36.1078,128.3234,"경기"
99,"남양주파크골프장","경기도 남양주시 다산동739 다산근린공원 앞 왕숙천","","18","","",37.5970012375082,127.161068454829,"경기"
100,"남원파크골프장","전북특별자치도 남원시 춘향골 체육공원내","18,000㎡","18","남원시","",35.3789,127.4234
101,"남원파크골프장","제주특별자치도 서귀포시 남원읍 수망리 산 158-1","18,000㎡","18","남원시","",35.3789,127.4234
102,"남해스포츠 파크골프장","경상남도 남해군 서면 스포츠파크길 15 남해스포츠파크 내","-","18","목포시","",34.7934,126.3789,"경남"
103,"녹송파크골프장","강원특별자치도 정선군 정선읍 봉양리 37-3","15121㎡","18","","033-560-2950",37.3801,128.6608,"강원"
104,"녹천교 파크골프장","서울특별시 도봉구 창동796","","6","","",37.6412777455823,127.054752750506,"서울"
105,"논공 위천파크골프장","대구광역시 달성군 논공읍 위천리 646","","36","","",35.7513925440693,128.394600357113,"대구"
106,"논산시(신규)파크골프장","충청남도 논산시 성동면 원봉리 718-7","","36","","",36.2021768938619,127.0697242443,"충남"
107,"논산시파크골프장","충청남도 논산시 대교동 319-39번지","","27","","",36.2117770956122,127.085863290144,"충남"
108,"다락원 파크골프장","서울특별시 도봉구 도봉동1-28일대","","9","","",37.6934427077346,127.0485876878,"서울"
109,"다사파크골프장","대구광역시 달성군 다사읍 매곡리 354-1 금호강변 세천교 밑","","36","","",35.8670310190314,128.465833145078,"대구"
110,"다산파크골프장","경상북도 고령군 다산면 사문나루1길 30","","27","고령군","",35.7456,128.2456,"경북"
111,"다인문암파크골프장","경상북도 의성군 다인면 삼분2길 259","","18","","",36.423301527297,128.405417152112,"경북"
112,"단북파크골프장","경상북도 의성군 단북면 단북다인로 168","","9","","",36.3877295090321,128.404871711318,"경북"
113,"단성(묵곡) 파크골프장","경상남도 산청군 단성면 성철로 93번길(겁외사 옆)","","18","","",35.2851024331453,127.969091229143,"경남"
114,"단양 파크골프장","충청북도 단양군 단양읍 별곡리 생태공원 내","","18","","",36.63872860662824,127.49427411009728,"충북"
115,"달서 강창파크골프장","대구광역시 달서구 파호동 401-2","","27","","",35.8459645787462,128.472051870153,"대구"
116,"달성보파크골프장","대구광역시 달성군 논공읍 남리 6-5 (달성보 하류)","","18","","",35.7349229533318,128.4229460899,"대구"
117,"당진해나루파크골프장","충청남도 당진시 석문면 통정리 1349","","36","","",36.9937679102764,126.590709736506,"충남"
118,"대가야파크골프장","경상북도 고령군 대가야읍 장기리 320-1","","36","고령군","",35.7289,128.2634,"경북"
119,"대산파크골프장","경상남도 창원시 의창구 대산면 북부리 195-3","","90","","",35.3525765991412,128.720688397716,"경남"
120,"대상파크골프장","광주광역시 북구 월출동 968","17074㎡","18","시체육회","062-604-9900",35.2087,126.8123,"광주"
121,"대소원 파크골프장","충청북도 충주시 대소원면 새터2길 29-15","","18","","",36.9780864256575,127.815724749785,"충북"
122,"대원레포츠공원 파크골프장","경상남도 창원시 의창구 두대로 46 (대상공원내)","","9","","",35.46452379070084,128.19848649208686,"경남"
123,"대저생태공원파크골프장","부산광역시 강서구 대저1동 1-5 대저생태공원 내","","54","","",35.215848101826,128.991446009636,"부산"
124,"대평파크골프장","세종특별자치시 대평동 578-12","","9","","",36.467848224945,127.26438157409,"세종"
125,"대화 파크골프장","강원특별자치도 평창군 대화면 하원동길 25","20501㎡","18","","033-330-2161",37.4123,128.4234,"강원"
126,"덕산파크골프장","경상북도 칠곡군 약목면 덕산리 348-7","","9","칠곡군","",36.0123,128.4234,"경북"
127,"덕흥파크골프장","광주광역시 서구 덕흥동 157","7204㎡","9","서구청 체육관광과","062-360-7597",35.1567,126.8678,"광주"
128,"도개파크골프장","경상북도 구미시 도개면 궁기리 829-1","","36","구미시","",36.0845,128.2678,"경북"
129,"도고파크골프장","충청남도 아산시 도고면 신언리 826","","9","","",36.7567127905508,126.871240417665,"충남"
130,"도천파크골프장","경상남도 창녕군 도천면 도천리 770","","18","","",35.4235695769658,128.513530815018,"경남"
131,"동구 봉무동 파크골프장","대구광역시 동구 봉무동 1097-5 빗물펌프장(금호강변) 인근","","36","","",35.9270786862582,128.632552031921,"대구"
132,"동구도평파크골프장","대구광역시 동구 도동","","9","","",35.9236484205452,128.66703226419,"대구"
133,"동두천파크골프장","경기도 동두천시 동두천로27 송내주공5단지","","9","","",37.8839606655613,127.053907277466,"경기"
134,"동두천파크골프장","경기도 동두천시 송내동 696","","18","","",37.884672308489,127.052343851175,"경기"
135,"동락파크골프장","경상북도 구미시 진평동 880","","36","구미시","",36.1194,128.3444,"경북"
136,"동부5개면파크골프장","경상남도 진주시 사봉면 사군로 583","","18","","",35.452299847391906,128.2045808029312,"경남"
137,"동부권파크골프장","경상남도 적중면 상부리242","","18","","",35.542482929541,128.279352082899,"경남"
138,"동작 파크골프장","서울특별시 동작구 동작동 327","","9","","",37.5030126699269,126.979411885894,"서울"
139,"동천 파크골프장","울산광역시 중구 남외동 508-1","","27","","",35.5638248111196,129.351266456104,"울산"
140,"동탄제2신도시파크골프장","경기도 화성시 동탄면 방교동789","","18","","",37.458071490756346,127.4915765655904,"경기"
141,"동해무릉파크골프장","강원특별자치도 동해시 삼화동 34-27","29000㎡","27","","033-530-2347",37.5244,129.1144,"강원"
142,"동해시파크골프장","강원특별자치도 동해시 동해대로6314 망상컨멘션센타 옆","","27","","",37.5959377643689,129.084687865533,"강원"
143,"둔내우용파크골프장","강원특별자치도 횡성군 둔내면 우용리 395-1","","9","","",37.5003468819182,128.21056664322,"강원"
144,"둔내파크골프장","강원특별자치도 횡성군 둔내면 둔방내리 563-3","7822㎡","9","","033-340-5962",37.4234,128.0123,"강원"
145,"둔산파크골프장","전북특별자치도 완주군 봉동읍 둔산리 881","14,700㎡","18","완주군","",35.8456,127.1234
146,"둔포파크골프장","충청남도 아산시 둔포면 석곡리 1480","","9","","",36.9229873261234,127.062484001763,"충남"
147,"렛츠런파크골프장","제주특별자치도 제주시 애월읍 유수암리 1206","","18","","",33.40752269491,126.398648320702,"제주"
148,"마전교파크골프장","전북특별자치도 전주시 완산구 서신동 738-7","9,501㎡","18","전주시","",35.8042,127.1289
149,"마전비치파크골프장","경상남도 창원시 마산합포구 구산면 해양관광로 722-69","9,501㎡","18","전주시","",35.8042,127.1289
150,"마전비치파크골프장","경상남도 창원시 마산합포구 구산면 해양관광로 722-69","9,501㎡","18","전주시","",35.8042,127.1289
151,"망원유수지 파크골프장","서울특별시 마포구 망원동 450-3","","9","","",37.5577847794997,126.89723494181,"서울"
152,"매전파크골프장","경상북도 청도군 매전면 온장길 123 장연생태공원","","18","","",35.6393193805418,128.850600010871,"경북"
153,"무등산파크골프장","광주광역시 동구 남문로 418-13","6032㎡","9","광주광역시 동구체육회","062-608-2121",35.1745,126.9234,"광주"
154,"무안파크골프장","경상남도 밀양시 무안면 신법리 262-2","-","9","무안군","",34.9906,126.4818,"경남"
155,"무주파크골프장","전북특별자치도 무주군 설천면 상평지길 20 무주복지공원 내","","6","","",36.0090457742439,127.790612370122,"전북"
156,"무태파크골프장","대구광역시 북구 서변동 산격대교 밑","","18","","",35.88032214011766,128.60080992385323,"대구"
157,"무한천파크골프장","충청남도 예산군 예산읍 주교리 460","","36","","",36.6821114444916,126.822316158482,"충남"
158,"문경파크골프장","경상북도 문경시 창리강길45","","45","","",36.49958058991181,128.88654414923482,"경북"
159,"문막파크골프장","강원특별자치도 원주시 문막면 문막리 1071-17","21000㎡","18","","033-737-2874",37.2945,127.8834,"강원"
160,"미사리파크골프장","경기도 하남시 미사동608 하남나무고아원","","9","","",37.5820888460798,127.196136819576,"경기"
161,"밀양파크골프장","경상남도 밀양시 삼문동 631번지","","45","","",35.4826609580266,128.742546580159,"경남"
162,"백세파크골프장","충청남도 청양군 청양읍 은천동길 16-6 백세공원 내","","36","","",36.4431836699675,126.799584447153,"충남"
163,"범밤파크골프장","부산광역시 강서구 범방동 1998","","18","","",35.1566456774318,128.886224969016,"부산"
164,"벽진면파크골프장","경상북도 성주군 벽진면 체육공원","","9","성주군","",35.8756,128.2345,"경북"
165,"병곡파크골프장","경상북도 영덕군 병곡면 송천리 434-1","","36","","",36.5542330725711,129.404901975167,"경북"
166,"보령파크골프구장","충청남도 보령시 웅천읍 오천리 534-1","","18","","",36.513174991856296,126.80903626605333,"충남"
167,"봉산파크골프장","경상남도 합천군 봉산면 서부로4344-11","","9","","",35.6277091135484,128.044354908056,"경남"
168,"봉평 파크골프장","강원특별자치도 평창군 봉평면 기운동길 12","15887㎡","18","","033-330-2161",37.6234,128.3456,"강원"
169,"봉화파크골프장","경상북도 봉화군 봉화읍 내성리 내성천 둔치","","18","","",36.4974179310598,128.878226856213,"경북"
170,"부강파크골프장","세종특별자치시 부강면 금호리 82 부강생활체육공원내","21799㎡","16","세종특별자치시","044-301-3334",36.5234,127.3123,"세종"
171,"부귀파크골프장","전북특별자치도 진안군 부귀면 귀상로 652-41","8,990㎡","18","진안군","",35.7234,127.3456
172,"부여파크골프장","충청남도 부여군 부여읍 군수리 268-3","","54","","",36.2740616650796,126.898456999744,"충남"
173,"북구 검단파크골프장","대구광역시 북구 검단동 276","34336㎡","27","북구시설관리공단","062-524-0873",35.2012,126.8567,"대구"
174,"북구파크골프장","광주광역시 북구 연제동 730번지(북구종합운동장내)","34336㎡","18","북구시설관리공단","062-524-0873",35.2012,126.8567,"광주"
175,"북면 장애인 파크골프장","경상남도 창원시 의창구 북면 외산리 42-2","","18","구미시","",36.1078,128.3234,"경남"
176,"북부권파크골프장","경상남도 합천군 야로면 월광리388-1","22,786㎡","18","익산시","",35.9876,127.0234
177,"북삼파크골프장","경상북도 칠곡군 북삼읍 어로리 743=1","","18","칠곡군","",35.9756,128.3567,"경북"
178,"북평파크골프장","강원특별자치도 정선군 북평면 북평리 149-1","25646㎡","18","","033-560-2950",37.3456,128.6234,"강원"
179,"불로파크골프장","대구광역시 동구 불로동 866-2","28139㎡","27","대구광역시 도시관리본부 체육시설관리부","053-803-8324",35.8989,128.6834,"대구"
180,"비봉파크골프장","전북특별자치도 완주군 비봉면 소농리454 비봉면체육공원 내","34,043㎡","18","완주군","",35.7123,127.0789
181,"비비정파크골프장","전북특별자치도 완주군 삼례읍 후정리142-1 비비정공원 내","","18","","",35.9010947116882,127.064469634796,"전북"
182,"비산파크골프장A-E","대구광역시 서구 비산동 2127(매천대교 밑)","9304㎡","18","대구광역시 도시관리본부 체육시설관리부","053-803-8324",35.8678,128.5456,"대구"
183,"비산파크골프장C-D","대구광역시 서구 비산동 2127(매천대교 밑)","9304㎡","18","대구광역시 도시관리본부 체육시설관리부","053-803-8324",35.8678,128.5456,"대구"
184,"비안파크골프장","경상북도 의성군 비안면 이두리 이두교","","18","의성군","",36.2567,128.6789,"경북"
185,"사곡파크골프장","경상북도 의성군 사곡면 의성사곡로 995-9","","9","","",36.3062777144609,128.790203966085,"경북"
186,"사암파크골프장","부산광역시 강서구 신호공단","","18","","",35.201200048238505,129.12312403724118,"부산"
187,"산이파크골프장","전라남도 해남군 산이면 초두길 10-14","-","18","해남군","",34.4234,126.5123,"전남"
188,"산청(모고)파크골프장","경상남도 산청군 산청읍 모고리","","9","","",35.4368525239282,127.890442914019,"경남"
189,"살곶이공원 파크골프장","서울특별시 성동구 사근동 104","","2","","",37.5538739335068,127.048618251308,"서울"
190,"삼락18파크골프장","부산광역시 사상구 삼락동 658-2","","18","","",35.13406358050975,129.03035409025964,"부산"
191,"삼락9&9파크골프장","부산광역시 사상구 삼락동 658-1","","18","","",35.14931484670625,129.07444945467896,"부산"
192,"삼락다이나믹파크골프장","부산광역시 사상구 삼락동 29-42","","36","","",35.1709039639955,128.972593254727,"부산"
193,"삼량진파크골프장","경상남도 밀양시 삼량진읍 송지리 456-6","","9","","",35.50490032752228,128.73766886354127,"경남"
194,"삼신교통부지 파크골프장","경상남도 양산시 삼신교통부지","","9","","",35.33454674236716,129.03850484593025,"경남"
195,"삼척시미로파크골프장","강원특별자치도 삼척시미로면 강변 고수부지","23009㎡","9","","033-570-3819",37.4493,129.1658,"강원"
196,"삽교파크골프구장","충청남도 당진시 신평면 삽교호 호수공원내","","9","","",36.88185654397233,126.6311958309161,"충남"
197,"상관파크골프장","전북특별자치도 완주군 상관면 신리 916","21,500㎡","18","완주군","",35.6789,127.1123
198,"상록파크골프구장","충청남도 당진시 송악읍 두곡공단로","","18","","",36.886245679856856,126.63714628550107,"충남"
199,"상사파크골프장","전라남도 순천시 상사면 응령리 678-7","-","13","순천시","",35.0045,127.4892,"전남"
200,"상주파크골프장","경상북도 상주시 병성천2길44","","36","상주시","",36.4108,128.1591,"경북"
201,"생강골파크골프장","전북특별자치도 완주군 봉동읍 낙평리 795","12,852㎡","36","완주군","",35.8456,127.1234
202,"생비량파크골프장","경상남도 산청군 생비량면 가계리 939-2 생활체육공원내","","9","","",35.3642707139271,128.064263990878,"경남"
203,"서남물재생센터 파크골프장","서울특별시 강서구 양천로201","12,210㎡","9","㈜서남환경","",37.5345,126.8234
204,"서산나이스파크골프장","충청남도 서산시 음암면 바위백이길 12","","18","","",36.7913012854368,126.524083485044,"충남"
205,"서산시파크골프장","충청남도 서산시 양대동 753-4","","36","","",36.7402227912862,126.465512436706,"충남"
206,"서의성파크골프장","경상북도 의성군 안계면 소보안계로 1907","","54","","",36.3700739607613,128.431648222455,"경북"
207,"서재파크골프장","대구광역시 달성군 다사읍 다사로 822(방천리 환경자원사업소)","","18","","",35.8785297773752,128.509328261933,"대구"
208,"서종파크골프장","경기도 양평군 서종면 문호리922-4 서종문화체육공원 내","","9","","",37.5928783873111,127.348729896498,"경기"
209,"서천군노인복지관파크골프장","충청남도 서천군 종천면 충서로302번길 88-26","","18","","",36.1107464185825,126.656454499058,"충남"
210,"석적파크골프장","경상북도 칠곡군 석적읍 남율리 403","","36","칠곡군","",35.9845,128.3756,"경북"
211,"선남면파크골프장","경상북도 성주군 선남면 관화리 714 체육공원 내","","18","성주군","",35.8945,128.2567,"경북"
212,"선산파크골프장","경상북도 구미시 선산읍 원리1057-26","","36","구미시","",36.1345,128.3123,"경북"
213,"선학파크골프장","인천광역시 연수구 경원대로 526","18518","9","인천광역시체육회","032-821-5721",37.4123,126.6789,"인천"
214,"성남시파크골프장","경기도 성남시 분당구 수내동 탄천변","","9","","",37.38229101037438,127.51054257760207,"경기"
215,"성서5차산업단지파크골프장","대구광역시 달성군 다사읍 세천리 1691","","9","","",35.8706928034162,128.473183147496,"대구"
216,"성저파크골프장","경기도 고양시 일산서구 대화동2325","","18","","",37.6815220561734,126.741879869724,"경기"
217,"성주읍파크골프장","경상북도 성주군 성주읍 경산리 경산교 일대 (성밖숲 건너편)","","9","성주군체육회","",35.9192,128.2835,"경북"
218,"소보파크골프장","대구광역시 군위군 봉황리","","18","","",36.2644867099779,128.50549282192,"대구"
219,"속초 경동대 파크골프장","강원특별자치도 속초시 도리원길 5","15178㎡","9","","033-639-1565",38.207,128.5918,"강원"
220,"속초시파크골프장","강원특별자치도 속초시 관광로 363번길92","15178㎡","18","","033-639-1565",38.207,128.5918,"강원"
221,"송백지구 파크골프장","경상남도 진주시 금산면 송백리 663","","36","","",35.2065137935449,128.131234670612,"경남"
222,"송정파크골프장","경상남도 산청군 생초면 어서리","","9","","",35.4958173070631,127.824033713275,"경남"
223,"쇠평파크골프장","울산광역시 동구 남목3동 산153","","18","","",35.5529519900398,129.427593425187,"울산"
224,"수림지파크골프장","대구광역시 달서구 대천동699","","18","","",35.8176849504708,128.502281431464,"대구"
225,"수성파크골프장","대구광역시 수성구 고모동 6-2","","27","","",35.8716225243964,128.66836449753,"대구"
226,"수성팔현파크골프장","대구광역시 수성구 고모동 20-3 수성패미리파크","","27","","",35.8701126407386,128.673813805985,"대구"
227,"수안보온천 파크골프장","충청북도 충주시 수안보생활체육공원 내","","27","","",36.98990677245998,127.9224037964002,"충북"
228,"수원시파크골프장","경기도 수원시 권선구 서수원로577번길 171(서수원칠보체육관)","","9","","",37.2762903888499,126.948311380327,"경기"
